38.541096, -121.743659
38.537061, -121.749193
38.543064, -121.749582
38.54426039195863, -121.78548981749816
38.541092, -121.773507
38.541652, -121.756062
38.541083, -121.773598
38.541981, -121.773486
38.539338, -121.771619
38.542533, -121.747782
38.545388, -121.755858
38.544767, -121.756352
38.544817, -121.763095
38.543932, -121.765868
38.534325, -121.763765
38.539103, -121.760745
38.546227, -121.758771
38.532691, -121.791805
38.541813, -121.776838
38.543685, -121.760284
38.541100, -121.771603
38.536921, -121.771442
38.54382034590309, -121.7683054100922
38.539396476011866, -121.7716046320675
38.535475029636146, -121.74870650773185
38.54378257006195, -121.76068736460657
38.54782457177049, -121.76370224741102
38.54404972468043, -121.7502138474112
