Time,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
00:00:00,0.6153846153846154,0.3269230769230769,0.5384615384615384,0.5576923076923077,0.49056603773584906,0.34615384615384615,0.6226415094339622
00:15:00,0.40384615384615385,0.23076923076923078,0.6346153846153846,0.38461538461538464,0.32075471698113206,0.17307692307692307,0.37735849056603776
00:30:00,0.2692307692307692,0.3076923076923077,0.6153846153846154,0.5384615384615384,0.2830188679245283,0.25,0.3018867924528302
00:45:00,0.3269230769230769,0.28846153846153844,0.6153846153846154,0.46153846153846156,0.22641509433962265,0.21153846153846154,0.2641509433962264
01:00:00,0.23076923076923078,0.1346153846153846,0.34615384615384615,0.34615384615384615,0.3584905660377358,0.19230769230769232,0.20754716981132076
01:15:00,0.15384615384615385,0.21153846153846154,0.2692307692307692,0.1346153846153846,0.2641509433962264,0.11538461538461539,0.24528301886792453
01:30:00,0.19230769230769232,0.057692307692307696,0.4230769230769231,0.28846153846153844,0.22641509433962265,0.2692307692307692,0.20754716981132076
01:45:00,0.038461538461538464,0.17307692307692307,0.3076923076923077,0.23076923076923078,0.20754716981132076,0.07692307692307693,0.1320754716981132
02:00:00,0.17307692307692307,0.1346153846153846,0.19230769230769232,0.27450980392156865,0.20754716981132076,0.038461538461538464,0.24528301886792453
02:15:00,0.23076923076923078,0.1346153846153846,0.1346153846153846,0.19607843137254902,0.16981132075471697,0.17307692307692307,0.11320754716981132
02:30:00,0.09615384615384616,0.07692307692307693,0.17307692307692307,0.21568627450980393,0.11320754716981132,0.19230769230769232,0.07547169811320754
02:45:00,0.15384615384615385,0.07692307692307693,0.19230769230769232,0.11764705882352941,0.11320754716981132,0.11538461538461539,0.07547169811320754
03:00:00,0.057692307692307696,0.07692307692307693,0.11538461538461539,0.057692307692307696,0.1509433962264151,0.0,0.11320754716981132
03:15:00,0.057692307692307696,0.038461538461538464,0.057692307692307696,0.15384615384615385,0.1509433962264151,0.11538461538461539,0.1320754716981132
03:30:00,0.2692307692307692,0.19230769230769232,0.09615384615384616,0.25,0.24528301886792453,0.38461538461538464,0.24528301886792453
03:45:00,0.07692307692307693,0.019230769230769232,0.19230769230769232,0.09615384615384616,0.1509433962264151,0.11538461538461539,0.09433962264150944
04:00:00,0.19230769230769232,0.17307692307692307,0.09615384615384616,0.25,0.2641509433962264,0.19230769230769232,0.1320754716981132
04:15:00,0.21153846153846154,0.15384615384615385,0.038461538461538464,0.15384615384615385,0.20754716981132076,0.34615384615384615,0.2641509433962264
04:30:00,0.34615384615384615,0.11538461538461539,0.11538461538461539,0.1346153846153846,0.1320754716981132,0.1346153846153846,0.18867924528301888
04:45:00,0.23076923076923078,0.21153846153846154,0.23076923076923078,0.25,0.2641509433962264,0.5,0.2641509433962264
05:00:00,0.17307692307692307,0.34615384615384615,0.46153846153846156,0.11538461538461539,0.9245283018867925,0.34615384615384615,0.20754716981132076
05:15:00,0.2692307692307692,0.8076923076923077,0.07692307692307693,0.15384615384615385,0.5660377358490566,0.6923076923076923,0.660377358490566
05:30:00,0.36538461538461536,0.5769230769230769,0.23076923076923078,0.17307692307692307,1.6037735849056605,1.0192307692307692,0.9245283018867925
05:45:00,1.5769230769230769,1.0,0.6538461538461539,0.5,1.6415094339622642,2.1346153846153846,1.6415094339622642
06:00:00,1.8269230769230769,1.1346153846153846,0.75,0.4230769230769231,0.9433962264150944,1.6730769230769231,1.2264150943396226
06:15:00,2.019230769230769,1.9038461538461537,0.9807692307692307,0.7884615384615384,2.7735849056603774,3.173076923076923,2.6037735849056602
06:30:00,2.8076923076923075,2.5961538461538463,1.6538461538461537,1.5,2.547169811320755,3.4038461538461537,3.452830188679245
06:45:00,3.0576923076923075,3.25,2.480769230769231,1.3461538461538463,2.811320754716981,3.1538461538461537,3.1320754716981134
07:00:00,3.980769230769231,3.3846153846153846,2.3653846153846154,2.4615384615384617,4.132075471698113,4.346153846153846,4.69811320754717
07:15:00,6.173076923076923,4.576923076923077,4.961538461538462,2.8846153846153846,6.39622641509434,5.980769230769231,6.867924528301887
07:30:00,8.826923076923077,6.288461538461538,5.038461538461538,3.2115384615384617,9.716981132075471,10.076923076923077,8.50943396226415
07:45:00,12.115384615384615,9.211538461538462,5.326923076923077,4.019230769230769,13.018867924528301,14.557692307692308,8.415094339622641
08:00:00,21.153846153846153,14.846153846153847,4.884615384615385,4.4423076923076925,19.60377358490566,20.365384615384617,11.679245283018869
08:15:00,16.346153846153847,11.634615384615385,6.884615384615385,5.1923076923076925,15.528301886792454,15.923076923076923,13.88679245283019
08:30:00,9.01923076923077,8.865384615384615,7.038461538461538,6.25,9.660377358490566,10.807692307692308,18.37735849056604
08:45:00,11.384615384615385,9.653846153846153,7.788461538461538,7.903846153846154,10.735849056603774,12.26923076923077,13.264150943396226
09:00:00,9.923076923076923,8.538461538461538,9.211538461538462,7.903846153846154,9.943396226415095,10.096153846153847,10.245283018867925
09:15:00,9.98076923076923,8.134615384615385,11.038461538461538,8.576923076923077,9.471698113207546,9.211538461538462,13.39622641509434
09:30:00,7.923076923076923,7.615384615384615,11.557692307692308,10.01923076923077,9.622641509433961,9.403846153846153,10.377358490566039
09:45:00,7.788461538461538,8.788461538461538,11.76923076923077,8.942307692307692,9.169811320754716,10.384615384615385,9.09433962264151
10:00:00,7.961538461538462,7.269230769230769,11.211538461538462,10.346153846153847,8.98076923076923,8.01923076923077,9.547169811320755
10:15:00,7.923076923076923,7.576923076923077,12.48076923076923,10.942307692307692,8.98076923076923,10.25,8.679245283018869
