Period,January 1 2020 to December 31 2020,
,,
Time,CA Eco-Multi 1 -Davis CA,Total counts on 3rd Street
Jan 2nd, 2020 15:15,15
Jan 2nd, 2020 15:30,3
Jan 2nd, 2020 15:45,5
Jan 2nd, 2020 16:00,10
Jan 2nd, 2020 16:15,11
Jan 2nd, 2020 16:30,6
Jan 2nd, 2020 16:45,16
Jan 2nd, 2020 17:00,16
Jan 2nd, 2020 17:15,14
Jan 2nd, 2020 17:30,7
Jan 2nd, 2020 17:45,9
Jan 2nd, 2020 18:00,6
Jan 2nd, 2020 18:15,3
Jan 2nd, 2020 18:30,4
Jan 2nd, 2020 18:45,3
Jan 2nd, 2020 19:00,5
Jan 2nd, 2020 19:15,1
Jan 2nd, 2020 19:30,2
Jan 2nd, 2020 19:45,3
Jan 2nd, 2020 20:00,1
Jan 2nd, 2020 20:15,0
Jan 2nd, 2020 20:30,1
Jan 2nd, 2020 20:45,1
Jan 2nd, 2020 21:00,0
Jan 2nd, 2020 21:15,0
Jan 2nd, 2020 21:30,2
Jan 2nd, 2020 21:45,2
Jan 2nd, 2020 22:00,0
Jan 2nd, 2020 22:15,0
Jan 2nd, 2020 22:30,2
Jan 2nd, 2020 22:45,3
Jan 2nd, 2020 23:00,0
Jan 2nd, 2020 23:15,0
Jan 2nd, 2020 23:30,0
Jan 2nd, 2020 23:45,0
Jan 3rd, 2020 00:00,1
Jan 3rd, 2020 00:15,0
Jan 3rd, 2020 00:30,0
Jan 3rd, 2020 00:45,1
Jan 3rd, 2020 01:00,0
Jan 3rd, 2020 01:15,0
Jan 3rd, 2020 01:30,0
Jan 3rd, 2020 01:45,0
Jan 3rd, 2020 02:00,0
Jan 3rd, 2020 02:15,0
Jan 3rd, 2020 02:30,0
Jan 3rd, 2020 02:45,0
Jan 3rd, 2020 03:00,0
Jan 3rd, 2020 03:15,0
Jan 3rd, 2020 03:30,1
Jan 3rd, 2020 03:45,0
Jan 3rd, 2020 04:00,0
Jan 3rd, 2020 04:15,0
Jan 3rd, 2020 04:30,0
Jan 3rd, 2020 04:45,0
Jan 3rd, 2020 05:00,0
Jan 3rd, 2020 05:15,0
Jan 3rd, 2020 05:30,0
Jan 3rd, 2020 05:45,1
Jan 3rd, 2020 06:00,0
Jan 3rd, 2020 06:15,1
Jan 3rd, 2020 06:30,2
Jan 3rd, 2020 06:45,1
Jan 3rd, 2020 07:00,3
Jan 3rd, 2020 07:15,2
Jan 3rd, 2020 07:30,10
Jan 3rd, 2020 07:45,2
Jan 3rd, 2020 08:00,3
Jan 3rd, 2020 08:15,8
Jan 3rd, 2020 08:30,5
Jan 3rd, 2020 08:45,4
Jan 3rd, 2020 09:00,5
Jan 3rd, 2020 09:15,5
Jan 3rd, 2020 09:30,1
Jan 3rd, 2020 09:45,7
Jan 3rd, 2020 10:00,3
Jan 3rd, 2020 10:15,6
Jan 3rd, 2020 10:30,6
Jan 3rd, 2020 10:45,6
Jan 3rd, 2020 11:00,13
Jan 3rd, 2020 11:15,14
Jan 3rd, 2020 11:30,13
Jan 3rd, 2020 11:45,11
Jan 3rd, 2020 12:00,8
Jan 3rd, 2020 12:15,5
Jan 3rd, 2020 12:30,9
Jan 3rd, 2020 12:45,4
Jan 3rd, 2020 13:00,7
Jan 3rd, 2020 13:15,9
Jan 3rd, 2020 13:30,7
Jan 3rd, 2020 13:45,10
Jan 3rd, 2020 14:00,5
Jan 3rd, 2020 14:15,7
Jan 3rd, 2020 14:30,8
Jan 3rd, 2020 14:45,14
Jan 3rd, 2020 15:00,18
Jan 3rd, 2020 15:15,14
Jan 3rd, 2020 15:30,7
Jan 3rd, 2020 15:45,11
Jan 3rd, 2020 16:00,13
Jan 3rd, 2020 16:15,10
Jan 3rd, 2020 16:30,10
Jan 3rd, 2020 16:45,17
Jan 3rd, 2020 17:00,11
Jan 3rd, 2020 17:15,19
Jan 3rd, 2020 17:30,17
Jan 3rd, 2020 17:45,11
Jan 3rd, 2020 18:00,5
Jan 3rd, 2020 18:15,2
Jan 3rd, 2020 18:30,2
Jan 3rd, 2020 18:45,5
Jan 3rd, 2020 19:00,0
Jan 3rd, 2020 19:15,3
Jan 3rd, 2020 19:30,2
Jan 3rd, 2020 19:45,0
Jan 3rd, 2020 20:00,5
Jan 3rd, 2020 20:15,2
Jan 3rd, 2020 20:30,2
Jan 3rd, 2020 20:45,2
Jan 3rd, 2020 21:00,1
Jan 3rd, 2020 21:15,2
Jan 3rd, 2020 21:30,0
Jan 3rd, 2020 21:45,0
Jan 3rd, 2020 22:00,1
Jan 3rd, 2020 22:15,1
Jan 3rd, 2020 22:30,0
Jan 3rd, 2020 22:45,2
Jan 3rd, 2020 23:00,0
Jan 3rd, 2020 23:15,2
Jan 3rd, 2020 23:30,1
Jan 3rd, 2020 23:45,0
Jan 4th, 2020 00:00,0
Jan 4th, 2020 00:15,0
Jan 4th, 2020 00:30,1
Jan 4th, 2020 00:45,0
Jan 4th, 2020 01:00,0
Jan 4th, 2020 01:15,0
Jan 4th, 2020 01:30,0
Jan 4th, 2020 01:45,0
Jan 4th, 2020 02:00,0
Jan 4th, 2020 02:15,0
Jan 4th, 2020 02:30,0
Jan 4th, 2020 02:45,2
Jan 4th, 2020 03:00,0
Jan 4th, 2020 03:15,1
Jan 4th, 2020 03:30,0
Jan 4th, 2020 03:45,0
Jan 4th, 2020 04:00,0
Jan 4th, 2020 04:15,0
Jan 4th, 2020 04:30,0
Jan 4th, 2020 04:45,0
Jan 4th, 2020 05:00,0
Jan 4th, 2020 05:15,0
Jan 4th, 2020 05:30,0
Jan 4th, 2020 05:45,0
Jan 4th, 2020 06:00,0
Jan 4th, 2020 06:15,0
Jan 4th, 2020 06:30,0
Jan 4th, 2020 06:45,0
Jan 4th, 2020 07:00,1
Jan 4th, 2020 07:15,0
Jan 4th, 2020 07:30,0
Jan 4th, 2020 07:45,6
Jan 4th, 2020 08:00,3
Jan 4th, 2020 08:15,1
Jan 4th, 2020 08:30,5
Jan 4th, 2020 08:45,2
Jan 4th, 2020 09:00,1
Jan 4th, 2020 09:15,4
Jan 4th, 2020 09:30,4
Jan 4th, 2020 09:45,2
Jan 4th, 2020 10:00,11
Jan 4th, 2020 10:15,6
Jan 4th, 2020 10:30,2
Jan 4th, 2020 10:45,5
Jan 4th, 2020 11:00,5
Jan 4th, 2020 11:15,4
Jan 4th, 2020 11:30,17
Jan 4th, 2020 11:45,13
Jan 4th, 2020 12:00,10
Jan 4th, 2020 12:15,9
Jan 4th, 2020 12:30,1
Jan 4th, 2020 12:45,11
Jan 4th, 2020 13:00,11
Jan 4th, 2020 13:15,14
Jan 4th, 2020 13:30,7
Jan 4th, 2020 13:45,5
Jan 4th, 2020 14:00,12
Jan 4th, 2020 14:15,3
Jan 4th, 2020 14:30,7
Jan 4th, 2020 14:45,10
Jan 4th, 2020 15:00,2
Jan 4th, 2020 15:15,14
Jan 4th, 2020 15:30,9
Jan 4th, 2020 15:45,11
Jan 4th, 2020 16:00,19
Jan 4th, 2020 16:15,1
Jan 4th, 2020 16:30,7
Jan 4th, 2020 16:45,5
Jan 4th, 2020 17:00,15
Jan 4th, 2020 17:15,7
Jan 4th, 2020 17:30,2
Jan 4th, 2020 17:45,4
Jan 4th, 2020 18:00,4
Jan 4th, 2020 18:15,2
Jan 4th, 2020 18:30,1
Jan 4th, 2020 18:45,3
Jan 4th, 2020 19:00,1
Jan 4th, 2020 19:15,2
Jan 4th, 2020 19:30,4
Jan 4th, 2020 19:45,1
Jan 4th, 2020 20:00,3
Jan 4th, 2020 20:15,10
Jan 4th, 2020 20:30,0
Jan 4th, 2020 20:45,2
Jan 4th, 2020 21:00,0
Jan 4th, 2020 21:15,2
Jan 4th, 2020 21:30,0
Jan 4th, 2020 21:45,1
Jan 4th, 2020 22:00,1
Jan 4th, 2020 22:15,0
Jan 4th, 2020 22:30,3
Jan 4th, 2020 22:45,2
Jan 4th, 2020 23:00,1
Jan 4th, 2020 23:15,1
Jan 4th, 2020 23:30,0
Jan 4th, 2020 23:45,1
Jan 5th, 2020 00:00,1
Jan 5th, 2020 00:15,0
Jan 5th, 2020 00:30,0
Jan 5th, 2020 00:45,0
Jan 5th, 2020 01:00,0
Jan 5th, 2020 01:15,0
Jan 5th, 2020 01:30,1
Jan 5th, 2020 01:45,0
Jan 5th, 2020 02:00,0
Jan 5th, 2020 02:15,0
Jan 5th, 2020 02:30,0
Jan 5th, 2020 02:45,0
Jan 5th, 2020 03:00,0
Jan 5th, 2020 03:15,1
Jan 5th, 2020 03:30,0
Jan 5th, 2020 03:45,0
Jan 5th, 2020 04:00,0
Jan 5th, 2020 04:15,0
Jan 5th, 2020 04:30,0
Jan 5th, 2020 04:45,0
Jan 5th, 2020 05:00,0
Jan 5th, 2020 05:15,0
Jan 5th, 2020 05:30,0
Jan 5th, 2020 05:45,0
Jan 5th, 2020 06:00,0
Jan 5th, 2020 06:15,1
Jan 5th, 2020 06:30,1
Jan 5th, 2020 06:45,0
Jan 5th, 2020 07:00,2
Jan 5th, 2020 07:15,3
Jan 5th, 2020 07:30,1
Jan 5th, 2020 07:45,0
Jan 5th, 2020 08:00,3
Jan 5th, 2020 08:15,0
Jan 5th, 2020 08:30,2
Jan 5th, 2020 08:45,5
Jan 5th, 2020 09:00,3
Jan 5th, 2020 09:15,2
Jan 5th, 2020 09:30,10
Jan 5th, 2020 09:45,8
Jan 5th, 2020 10:00,10
Jan 5th, 2020 10:15,12
Jan 5th, 2020 10:30,6
Jan 5th, 2020 10:45,7
Jan 5th, 2020 11:00,11
Jan 5th, 2020 11:15,16
Jan 5th, 2020 11:30,7
Jan 5th, 2020 11:45,5
Jan 5th, 2020 12:00,14
Jan 5th, 2020 12:15,9
Jan 5th, 2020 12:30,7
Jan 5th, 2020 12:45,9
Jan 5th, 2020 13:00,5
Jan 5th, 2020 13:15,12
Jan 5th, 2020 13:30,11
Jan 5th, 2020 13:45,3
Jan 5th, 2020 14:00,16
Jan 5th, 2020 14:15,19
Jan 5th, 2020 14:30,7
Jan 5th, 2020 14:45,12
Jan 5th, 2020 15:00,14
Jan 5th, 2020 15:15,5
Jan 5th, 2020 15:30,6
Jan 5th, 2020 15:45,12
Jan 5th, 2020 16:00,12
Jan 5th, 2020 16:15,12
Jan 5th, 2020 16:30,11
Jan 5th, 2020 16:45,7
Jan 5th, 2020 17:00,8
Jan 5th, 2020 17:15,2
Jan 5th, 2020 17:30,5
Jan 5th, 2020 17:45,2
Jan 5th, 2020 18:00,3
Jan 5th, 2020 18:15,3
Jan 5th, 2020 18:30,5
Jan 5th, 2020 18:45,4
Jan 5th, 2020 19:00,1
Jan 5th, 2020 19:15,2
Jan 5th, 2020 19:30,0
Jan 5th, 2020 19:45,0
Jan 5th, 2020 20:00,1
Jan 5th, 2020 20:15,0
Jan 5th, 2020 20:30,1
Jan 5th, 2020 20:45,1
Jan 5th, 2020 21:00,2
Jan 5th, 2020 21:15,1
Jan 5th, 2020 21:30,1
Jan 5th, 2020 21:45,1
Jan 5th, 2020 22:00,1
Jan 5th, 2020 22:15,1
Jan 5th, 2020 22:30,1
Jan 5th, 2020 22:45,1
Jan 5th, 2020 23:00,0
Jan 5th, 2020 23:15,0
Jan 5th, 2020 23:30,0
Jan 5th, 2020 23:45,2
Jan 6th, 2020 00:00,0
Jan 6th, 2020 00:15,0
Jan 6th, 2020 00:30,0
Jan 6th, 2020 00:45,0
Jan 6th, 2020 01:00,0
Jan 6th, 2020 01:15,0
Jan 6th, 2020 01:30,0
Jan 6th, 2020 01:45,0
Jan 6th, 2020 02:00,0
Jan 6th, 2020 02:15,0
Jan 6th, 2020 02:30,0
Jan 6th, 2020 02:45,0
Jan 6th, 2020 03:00,0
Jan 6th, 2020 03:15,0
Jan 6th, 2020 03:30,0
Jan 6th, 2020 03:45,0
Jan 6th, 2020 04:00,0
Jan 6th, 2020 04:15,0
Jan 6th, 2020 04:30,0
Jan 6th, 2020 04:45,1
Jan 6th, 2020 05:00,1
Jan 6th, 2020 05:15,0
Jan 6th, 2020 05:30,3
Jan 6th, 2020 05:45,0
Jan 6th, 2020 06:00,0
Jan 6th, 2020 06:15,1
Jan 6th, 2020 06:30,0
Jan 6th, 2020 06:45,3
Jan 6th, 2020 07:00,1
Jan 6th, 2020 07:15,12
Jan 6th, 2020 07:30,18
Jan 6th, 2020 07:45,28
Jan 6th, 2020 08:00,74
Jan 6th, 2020 08:15,47
Jan 6th, 2020 08:30,17
Jan 6th, 2020 08:45,23
Jan 6th, 2020 09:00,8
Jan 6th, 2020 09:15,15
Jan 6th, 2020 09:30,10
Jan 6th, 2020 09:45,8
Jan 6th, 2020 10:00,10
Jan 6th, 2020 10:15,4
Jan 6th, 2020 10:30,8
Jan 6th, 2020 10:45,5
Jan 6th, 2020 11:00,12
Jan 6th, 2020 11:15,7
Jan 6th, 2020 11:30,9
Jan 6th, 2020 11:45,10
Jan 6th, 2020 12:00,8
Jan 6th, 2020 12:15,9
