Period,January 1 2020 to December 31 2020,
,,
Time,CA Eco-Multi 1 -Davis CA,Total counts on 3rd Street
Feb 24th, 2020 11:45,11
Feb 24th, 2020 12:00,8
Feb 24th, 2020 12:15,5
Feb 24th, 2020 12:30,4
Feb 24th, 2020 12:45,7
Feb 24th, 2020 13:00,6
Feb 24th, 2020 13:15,6
Feb 24th, 2020 13:30,2
Feb 24th, 2020 13:45,9
Feb 24th, 2020 14:00,6
Feb 24th, 2020 14:15,7
Feb 24th, 2020 14:30,20
Feb 24th, 2020 14:45,54
Feb 24th, 2020 15:00,27
Feb 24th, 2020 15:15,15
Feb 24th, 2020 15:30,95
Feb 24th, 2020 15:45,45
Feb 24th, 2020 16:00,17
Feb 24th, 2020 16:15,11
Feb 24th, 2020 16:30,15
Feb 24th, 2020 16:45,15
Feb 24th, 2020 17:00,31
Feb 24th, 2020 17:15,21
Feb 24th, 2020 17:30,29
Feb 24th, 2020 17:45,20
Feb 24th, 2020 18:00,19
Feb 24th, 2020 18:15,13
Feb 24th, 2020 18:30,6
Feb 24th, 2020 18:45,2
Feb 24th, 2020 19:00,6
Feb 24th, 2020 19:15,7
Feb 24th, 2020 19:30,1
Feb 24th, 2020 19:45,7
Feb 24th, 2020 20:00,2
Feb 24th, 2020 20:15,4
Feb 24th, 2020 20:30,5
Feb 24th, 2020 20:45,0
Feb 24th, 2020 21:00,5
Feb 24th, 2020 21:15,4
Feb 24th, 2020 21:30,5
Feb 24th, 2020 21:45,1
Feb 24th, 2020 22:00,0
Feb 24th, 2020 22:15,3
Feb 24th, 2020 22:30,3
Feb 24th, 2020 22:45,2
Feb 24th, 2020 23:00,1
Feb 24th, 2020 23:15,0
Feb 24th, 2020 23:30,1
Feb 24th, 2020 23:45,0
Feb 25th, 2020 00:00,0
Feb 25th, 2020 00:15,0
Feb 25th, 2020 00:30,0
Feb 25th, 2020 00:45,0
Feb 25th, 2020 01:00,1
Feb 25th, 2020 01:15,0
Feb 25th, 2020 01:30,1
Feb 25th, 2020 01:45,0
Feb 25th, 2020 02:00,0
Feb 25th, 2020 02:15,0
Feb 25th, 2020 02:30,0
Feb 25th, 2020 02:45,0
Feb 25th, 2020 03:00,0
Feb 25th, 2020 03:15,0
Feb 25th, 2020 03:30,0
Feb 25th, 2020 03:45,0
Feb 25th, 2020 04:00,1
Feb 25th, 2020 04:15,0
Feb 25th, 2020 04:30,0
Feb 25th, 2020 04:45,0
Feb 25th, 2020 05:00,0
Feb 25th, 2020 05:15,2
Feb 25th, 2020 05:30,2
Feb 25th, 2020 05:45,2
Feb 25th, 2020 06:00,2
Feb 25th, 2020 06:15,6
Feb 25th, 2020 06:30,3
Feb 25th, 2020 06:45,3
Feb 25th, 2020 07:00,6
Feb 25th, 2020 07:15,6
Feb 25th, 2020 07:30,6
Feb 25th, 2020 07:45,25
Feb 25th, 2020 08:00,71
Feb 25th, 2020 08:15,51
Feb 25th, 2020 08:30,22
Feb 25th, 2020 08:45,24
Feb 25th, 2020 09:00,10
Feb 25th, 2020 09:15,11
Feb 25th, 2020 09:30,12
Feb 25th, 2020 09:45,85
Feb 25th, 2020 10:00,9
Feb 25th, 2020 10:15,8
Feb 25th, 2020 10:30,6
Feb 25th, 2020 10:45,5
Feb 25th, 2020 11:00,4
Feb 25th, 2020 11:15,3
Feb 25th, 2020 11:30,7
Feb 25th, 2020 11:45,8
Feb 25th, 2020 12:00,6
Feb 25th, 2020 12:15,6
Feb 25th, 2020 12:30,4
Feb 25th, 2020 12:45,5
Feb 25th, 2020 13:00,9
Feb 25th, 2020 13:15,2
Feb 25th, 2020 13:30,3
Feb 25th, 2020 13:45,83
Feb 25th, 2020 14:00,9
Feb 25th, 2020 14:15,2
Feb 25th, 2020 14:30,23
Feb 25th, 2020 14:45,35
Feb 25th, 2020 15:00,21
Feb 25th, 2020 15:15,30
Feb 25th, 2020 15:30,92
Feb 25th, 2020 15:45,35
Feb 25th, 2020 16:00,18
Feb 25th, 2020 16:15,18
Feb 25th, 2020 16:30,32
Feb 25th, 2020 16:45,17
Feb 25th, 2020 17:00,28
Feb 25th, 2020 17:15,32
Feb 25th, 2020 17:30,29
Feb 25th, 2020 17:45,20
Feb 25th, 2020 18:00,13
Feb 25th, 2020 18:15,13
Feb 25th, 2020 18:30,7
Feb 25th, 2020 18:45,6
Feb 25th, 2020 19:00,10
Feb 25th, 2020 19:15,6
Feb 25th, 2020 19:30,5
Feb 25th, 2020 19:45,4
Feb 25th, 2020 20:00,1
Feb 25th, 2020 20:15,4
Feb 25th, 2020 20:30,3
Feb 25th, 2020 20:45,3
Feb 25th, 2020 21:00,3
Feb 25th, 2020 21:15,3
Feb 25th, 2020 21:30,4
Feb 25th, 2020 21:45,0
Feb 25th, 2020 22:00,3
Feb 25th, 2020 22:15,0
Feb 25th, 2020 22:30,0
Feb 25th, 2020 22:45,0
Feb 25th, 2020 23:00,0
Feb 25th, 2020 23:15,0
Feb 25th, 2020 23:30,0
Feb 25th, 2020 23:45,1
Feb 26th, 2020 00:00,1
Feb 26th, 2020 00:15,0
Feb 26th, 2020 00:30,0
Feb 26th, 2020 00:45,1
Feb 26th, 2020 01:00,0
Feb 26th, 2020 01:15,0
Feb 26th, 2020 01:30,1
Feb 26th, 2020 01:45,0
Feb 26th, 2020 02:00,0
Feb 26th, 2020 02:15,0
Feb 26th, 2020 02:30,0
Feb 26th, 2020 02:45,0
Feb 26th, 2020 03:00,0
Feb 26th, 2020 03:15,2
Feb 26th, 2020 03:30,1
Feb 26th, 2020 03:45,0
Feb 26th, 2020 04:00,0
Feb 26th, 2020 04:15,0
Feb 26th, 2020 04:30,0
Feb 26th, 2020 04:45,1
Feb 26th, 2020 05:00,0
Feb 26th, 2020 05:15,1
Feb 26th, 2020 05:30,1
Feb 26th, 2020 05:45,0
Feb 26th, 2020 06:00,1
Feb 26th, 2020 06:15,3
Feb 26th, 2020 06:30,4
Feb 26th, 2020 06:45,3
Feb 26th, 2020 07:00,4
Feb 26th, 2020 07:15,9
Feb 26th, 2020 07:30,9
Feb 26th, 2020 07:45,9
Feb 26th, 2020 08:00,32
Feb 26th, 2020 08:15,43
Feb 26th, 2020 08:30,54
Feb 26th, 2020 08:45,36
Feb 26th, 2020 09:00,28
Feb 26th, 2020 09:15,26
Feb 26th, 2020 09:30,22
Feb 26th, 2020 09:45,8
Feb 26th, 2020 10:00,15
Feb 26th, 2020 10:15,9
Feb 26th, 2020 10:30,7
Feb 26th, 2020 10:45,10
Feb 26th, 2020 11:00,4
Feb 26th, 2020 11:15,6
Feb 26th, 2020 11:30,9
Feb 26th, 2020 11:45,12
Feb 26th, 2020 12:00,9
Feb 26th, 2020 12:15,13
Feb 26th, 2020 12:30,2
Feb 26th, 2020 12:45,6
Feb 26th, 2020 13:00,16
Feb 26th, 2020 13:15,19
Feb 26th, 2020 13:30,20
Feb 26th, 2020 13:45,9
Feb 26th, 2020 14:00,11
Feb 26th, 2020 14:15,11
Feb 26th, 2020 14:30,28
Feb 26th, 2020 14:45,24
Feb 26th, 2020 15:00,15
Feb 26th, 2020 15:15,7
Feb 26th, 2020 15:30,74
Feb 26th, 2020 15:45,22
Feb 26th, 2020 16:00,20
Feb 26th, 2020 16:15,20
Feb 26th, 2020 16:30,16
Feb 26th, 2020 16:45,16
Feb 26th, 2020 17:00,25
Feb 26th, 2020 17:15,30
Feb 26th, 2020 17:30,38
Feb 26th, 2020 17:45,33
Feb 26th, 2020 18:00,11
Feb 26th, 2020 18:15,18
Feb 26th, 2020 18:30,8
Feb 26th, 2020 18:45,12
Feb 26th, 2020 19:00,7
Feb 26th, 2020 19:15,8
Feb 26th, 2020 19:30,9
Feb 26th, 2020 19:45,4
Feb 26th, 2020 20:00,4
Feb 26th, 2020 20:15,2
Feb 26th, 2020 20:30,2
Feb 26th, 2020 20:45,4
Feb 26th, 2020 21:00,2
Feb 26th, 2020 21:15,3
Feb 26th, 2020 21:30,3
Feb 26th, 2020 21:45,2
Feb 26th, 2020 22:00,0
Feb 26th, 2020 22:15,2
Feb 26th, 2020 22:30,1
Feb 26th, 2020 22:45,2
Feb 26th, 2020 23:00,2
Feb 26th, 2020 23:15,0
Feb 26th, 2020 23:30,0
Feb 26th, 2020 23:45,1
Feb 27th, 2020 00:00,0
Feb 27th, 2020 00:15,0
Feb 27th, 2020 00:30,0
Feb 27th, 2020 00:45,0
Feb 27th, 2020 01:00,1
Feb 27th, 2020 01:15,0
Feb 27th, 2020 01:30,0
Feb 27th, 2020 01:45,0
Feb 27th, 2020 02:00,1
Feb 27th, 2020 02:15,0
Feb 27th, 2020 02:30,0
Feb 27th, 2020 02:45,0
Feb 27th, 2020 03:00,0
Feb 27th, 2020 03:15,2
Feb 27th, 2020 03:30,0
Feb 27th, 2020 03:45,2
Feb 27th, 2020 04:00,0
Feb 27th, 2020 04:15,0
Feb 27th, 2020 04:30,0
Feb 27th, 2020 04:45,0
Feb 27th, 2020 05:00,0
Feb 27th, 2020 05:15,2
Feb 27th, 2020 05:30,1
Feb 27th, 2020 05:45,0
Feb 27th, 2020 06:00,1
Feb 27th, 2020 06:15,4
Feb 27th, 2020 06:30,2
Feb 27th, 2020 06:45,5
Feb 27th, 2020 07:00,7
Feb 27th, 2020 07:15,8
Feb 27th, 2020 07:30,7
Feb 27th, 2020 07:45,24
Feb 27th, 2020 08:00,56
Feb 27th, 2020 08:15,50
Feb 27th, 2020 08:30,22
Feb 27th, 2020 08:45,15
Feb 27th, 2020 09:00,10
Feb 27th, 2020 09:15,5
Feb 27th, 2020 09:30,10
Feb 27th, 2020 09:45,15
Feb 27th, 2020 10:00,6
Feb 27th, 2020 10:15,8
Feb 27th, 2020 10:30,4
Feb 27th, 2020 10:45,4
Feb 27th, 2020 11:00,4
Feb 27th, 2020 11:15,8
Feb 27th, 2020 11:30,7
Feb 27th, 2020 11:45,14
Feb 27th, 2020 12:00,5
Feb 27th, 2020 12:15,4
Feb 27th, 2020 12:30,10
Feb 27th, 2020 12:45,11
Feb 27th, 2020 13:00,3
Feb 27th, 2020 13:15,5
Feb 27th, 2020 13:30,7
Feb 27th, 2020 13:45,4
Feb 27th, 2020 14:00,32
Feb 27th, 2020 14:15,11
Feb 27th, 2020 14:30,19
Feb 27th, 2020 14:45,13
Feb 27th, 2020 15:00,22
Feb 27th, 2020 15:15,16
Feb 27th, 2020 15:30,88
Feb 27th, 2020 15:45,40
Feb 27th, 2020 16:00,14
Feb 27th, 2020 16:15,16
Feb 27th, 2020 16:30,14
Feb 27th, 2020 16:45,18
Feb 27th, 2020 17:00,27
Feb 27th, 2020 17:15,27
Feb 27th, 2020 17:30,18
Feb 27th, 2020 17:45,24
Feb 27th, 2020 18:00,21
Feb 27th, 2020 18:15,9
Feb 27th, 2020 18:30,14
Feb 27th, 2020 18:45,10
Feb 27th, 2020 19:00,7
Feb 27th, 2020 19:15,12
Feb 27th, 2020 19:30,7
Feb 27th, 2020 19:45,0
Feb 27th, 2020 20:00,6
Feb 27th, 2020 20:15,5
Feb 27th, 2020 20:30,3
Feb 27th, 2020 20:45,1
Feb 27th, 2020 21:00,2
Feb 27th, 2020 21:15,2
Feb 27th, 2020 21:30,1
Feb 27th, 2020 21:45,0
Feb 27th, 2020 22:00,2
Feb 27th, 2020 22:15,2
Feb 27th, 2020 22:30,4
Feb 27th, 2020 22:45,2
Feb 27th, 2020 23:00,1
Feb 27th, 2020 23:15,6
Feb 27th, 2020 23:30,0
Feb 27th, 2020 23:45,0
Feb 28th, 2020 00:00,0
Feb 28th, 2020 00:15,0
Feb 28th, 2020 00:30,0
Feb 28th, 2020 00:45,0
Feb 28th, 2020 01:00,0
Feb 28th, 2020 01:15,0
Feb 28th, 2020 01:30,0
Feb 28th, 2020 01:45,0
Feb 28th, 2020 02:00,0
Feb 28th, 2020 02:15,1
Feb 28th, 2020 02:30,0
Feb 28th, 2020 02:45,0
Feb 28th, 2020 03:00,0
Feb 28th, 2020 03:15,1
Feb 28th, 2020 03:30,0
Feb 28th, 2020 03:45,0
Feb 28th, 2020 04:00,0
Feb 28th, 2020 04:15,0
Feb 28th, 2020 04:30,0
Feb 28th, 2020 04:45,0
Feb 28th, 2020 05:00,0
Feb 28th, 2020 05:15,2
Feb 28th, 2020 05:30,0
Feb 28th, 2020 05:45,2
Feb 28th, 2020 06:00,3
Feb 28th, 2020 06:15,2
Feb 28th, 2020 06:30,2
Feb 28th, 2020 06:45,4
Feb 28th, 2020 07:00,6
Feb 28th, 2020 07:15,10
Feb 28th, 2020 07:30,12
Feb 28th, 2020 07:45,29
Feb 28th, 2020 08:00,67
Feb 28th, 2020 08:15,36
Feb 28th, 2020 08:30,10
Feb 28th, 2020 08:45,12
Feb 28th, 2020 09:00,7
Feb 28th, 2020 09:15,6
Feb 28th, 2020 09:30,1
Feb 28th, 2020 09:45,3
Feb 28th, 2020 10:00,3
Feb 28th, 2020 10:15,7
Feb 28th, 2020 10:30,7
Feb 28th, 2020 10:45,7
Feb 28th, 2020 11:00,6
Feb 28th, 2020 11:15,3
Feb 28th, 2020 11:30,5
Feb 28th, 2020 11:45,13
Feb 28th, 2020 12:00,11
Feb 28th, 2020 12:15,6
Feb 28th, 2020 12:30,10
Feb 28th, 2020 12:45,9
Feb 28th, 2020 13:00,1
Feb 28th, 2020 13:15,4
Feb 28th, 2020 13:30,2
Feb 28th, 2020 13:45,13
Feb 28th, 2020 14:00,0
Feb 28th, 2020 14:15,3
Feb 28th, 2020 14:30,16
Feb 28th, 2020 14:45,15
Feb 28th, 2020 15:00,15
Feb 28th, 2020 15:15,20
Feb 28th, 2020 15:30,92
Feb 28th, 2020 15:45,26
Feb 28th, 2020 16:00,15
Feb 28th, 2020 16:15,16
Feb 28th, 2020 16:30,15
Feb 28th, 2020 16:45,15
Feb 28th, 2020 17:00,15
Feb 28th, 2020 17:15,15
Feb 28th, 2020 17:30,15
Feb 28th, 2020 17:45,18
Feb 28th, 2020 18:00,14
Feb 28th, 2020 18:15,9
Feb 28th, 2020 18:30,8
Feb 28th, 2020 18:45,5
Feb 28th, 2020 19:00,3
Feb 28th, 2020 19:15,7
Feb 28th, 2020 19:30,1
Feb 28th, 2020 19:45,7
Feb 28th, 2020 20:00,3
Feb 28th, 2020 20:15,4
Feb 28th, 2020 20:30,3
Feb 28th, 2020 20:45,2
Feb 28th, 2020 21:00,2
Feb 28th, 2020 21:15,4
Feb 28th, 2020 21:30,1
Feb 28th, 2020 21:45,1
Feb 28th, 2020 22:00,1
Feb 28th, 2020 22:15,1
Feb 28th, 2020 22:30,1
Feb 28th, 2020 22:45,1
Feb 28th, 2020 23:00,0
Feb 28th, 2020 23:15,1
Feb 28th, 2020 23:30,1
Feb 28th, 2020 23:45,0
Feb 29th, 2020 00:00,1
Feb 29th, 2020 00:15,0
Feb 29th, 2020 00:30,1
Feb 29th, 2020 00:45,1
Feb 29th, 2020 01:00,0
Feb 29th, 2020 01:15,1
Feb 29th, 2020 01:30,0
Feb 29th, 2020 01:45,2
Feb 29th, 2020 02:00,2
Feb 29th, 2020 02:15,0
Feb 29th, 2020 02:30,0
Feb 29th, 2020 02:45,0
Feb 29th, 2020 03:00,0
Feb 29th, 2020 03:15,1
Feb 29th, 2020 03:30,0
Feb 29th, 2020 03:45,0
Feb 29th, 2020 04:00,1
Feb 29th, 2020 04:15,0
Feb 29th, 2020 04:30,0
Feb 29th, 2020 04:45,0
Feb 29th, 2020 05:00,0
Feb 29th, 2020 05:15,0
Feb 29th, 2020 05:30,0
Feb 29th, 2020 05:45,0
Feb 29th, 2020 06:00,1
Feb 29th, 2020 06:15,1
Feb 29th, 2020 06:30,0
Feb 29th, 2020 06:45,1
Feb 29th, 2020 07:00,1
Feb 29th, 2020 07:15,1
Feb 29th, 2020 07:30,2
Feb 29th, 2020 07:45,3
Feb 29th, 2020 08:00,5
Feb 29th, 2020 08:15,2
Feb 29th, 2020 08:30,4
Feb 29th, 2020 08:45,3
Feb 29th, 2020 09:00,4
Feb 29th, 2020 09:15,4
Feb 29th, 2020 09:30,2
Feb 29th, 2020 09:45,10
Feb 29th, 2020 10:00,16
Feb 29th, 2020 10:15,9
Feb 29th, 2020 10:30,8
Feb 29th, 2020 10:45,17
Feb 29th, 2020 11:00,21
Feb 29th, 2020 11:15,16
Feb 29th, 2020 11:30,10
Feb 29th, 2020 11:45,8
Feb 29th, 2020 12:00,8
Feb 29th, 2020 12:15,21
Feb 29th, 2020 12:30,18
Feb 29th, 2020 12:45,9
Feb 29th, 2020 13:00,10
Feb 29th, 2020 13:15,11
Feb 29th, 2020 13:30,13
Feb 29th, 2020 13:45,6
Feb 29th, 2020 14:00,5
Feb 29th, 2020 14:15,13
Feb 29th, 2020 14:30,9
Feb 29th, 2020 14:45,11
Feb 29th, 2020 15:00,15
Feb 29th, 2020 15:15,10
Feb 29th, 2020 15:30,5
Feb 29th, 2020 15:45,8
Feb 29th, 2020 16:00,13
Feb 29th, 2020 16:15,16
Feb 29th, 2020 16:30,11
Feb 29th, 2020 16:45,7
Feb 29th, 2020 17:00,11
Feb 29th, 2020 17:15,2
Feb 29th, 2020 17:30,11
Feb 29th, 2020 17:45,4
Feb 29th, 2020 18:00,5
Feb 29th, 2020 18:15,3
Feb 29th, 2020 18:30,2
Feb 29th, 2020 18:45,3
Feb 29th, 2020 19:00,2
Feb 29th, 2020 19:15,3
Feb 29th, 2020 19:30,2
Feb 29th, 2020 19:45,3
Feb 29th, 2020 20:00,0
Feb 29th, 2020 20:15,1
Feb 29th, 2020 20:30,2
Feb 29th, 2020 20:45,2
Feb 29th, 2020 21:00,4
Feb 29th, 2020 21:15,4
Feb 29th, 2020 21:30,5
Feb 29th, 2020 21:45,1
Feb 29th, 2020 22:00,2
Feb 29th, 2020 22:15,0
Feb 29th, 2020 22:30,0
Feb 29th, 2020 22:45,0
Feb 29th, 2020 23:00,0
Feb 29th, 2020 23:15,0
Feb 29th, 2020 23:30,1
Feb 29th, 2020 23:45,0
Mar 1st, 2020 00:00,0
Mar 1st, 2020 00:15,0
Mar 1st, 2020 00:30,0
Mar 1st, 2020 00:45,1
Mar 1st, 2020 01:00,0
Mar 1st, 2020 01:15,1
Mar 1st, 2020 01:30,1
Mar 1st, 2020 01:45,0
Mar 1st, 2020 02:00,0
Mar 1st, 2020 02:15,0
Mar 1st, 2020 02:30,1
Mar 1st, 2020 02:45,1
Mar 1st, 2020 03:00,0
Mar 1st, 2020 03:15,0
Mar 1st, 2020 03:30,0
Mar 1st, 2020 03:45,0
Mar 1st, 2020 04:00,0
Mar 1st, 2020 04:15,0
Mar 1st, 2020 04:30,1
Mar 1st, 2020 04:45,1
Mar 1st, 2020 05:00,0
Mar 1st, 2020 05:15,1
Mar 1st, 2020 05:30,1
Mar 1st, 2020 05:45,0
Mar 1st, 2020 06:00,0
Mar 1st, 2020 06:15,2
Mar 1st, 2020 06:30,0
Mar 1st, 2020 06:45,0
Mar 1st, 2020 07:00,3
Mar 1st, 2020 07:15,4
Mar 1st, 2020 07:30,1
Mar 1st, 2020 07:45,2
Mar 1st, 2020 08:00,1
Mar 1st, 2020 08:15,6
Mar 1st, 2020 08:30,3
Mar 1st, 2020 08:45,6
Mar 1st, 2020 09:00,1
Mar 1st, 2020 09:15,8
Mar 1st, 2020 09:30,4
Mar 1st, 2020 09:45,5
Mar 1st, 2020 10:00,7
Mar 1st, 2020 10:15,4
Mar 1st, 2020 10:30,11
Mar 1st, 2020 10:45,4
Mar 1st, 2020 11:00,12
Mar 1st, 2020 11:15,5
Mar 1st, 2020 11:30,3
Mar 1st, 2020 11:45,5
Mar 1st, 2020 12:00,6
Mar 1st, 2020 12:15,3
Mar 1st, 2020 12:30,5
Mar 1st, 2020 12:45,7
Mar 1st, 2020 13:00,4
Mar 1st, 2020 13:15,5
Mar 1st, 2020 13:30,5
Mar 1st, 2020 13:45,7
Mar 1st, 2020 14:00,9
Mar 1st, 2020 14:15,13
Mar 1st, 2020 14:30,7
Mar 1st, 2020 14:45,11
Mar 1st, 2020 15:00,10
Mar 1st, 2020 15:15,14
Mar 1st, 2020 15:30,6
Mar 1st, 2020 15:45,9
Mar 1st, 2020 16:00,8
Mar 1st, 2020 16:15,8
Mar 1st, 2020 16:30,8
Mar 1st, 2020 16:45,7
Mar 1st, 2020 17:00,8
Mar 1st, 2020 17:15,14
Mar 1st, 2020 17:30,12
Mar 1st, 2020 17:45,6
Mar 1st, 2020 18:00,6
Mar 1st, 2020 18:15,4
Mar 1st, 2020 18:30,1
Mar 1st, 2020 18:45,4
Mar 1st, 2020 19:00,6
Mar 1st, 2020 19:15,4
Mar 1st, 2020 19:30,2
Mar 1st, 2020 19:45,1
Mar 1st, 2020 20:00,1
Mar 1st, 2020 20:15,3
Mar 1st, 2020 20:30,0
Mar 1st, 2020 20:45,1
Mar 1st, 2020 21:00,1
Mar 1st, 2020 21:15,2
Mar 1st, 2020 21:30,2
Mar 1st, 2020 21:45,0
Mar 1st, 2020 22:00,0
Mar 1st, 2020 22:15,1
Mar 1st, 2020 22:30,1
Mar 1st, 2020 22:45,4
Mar 1st, 2020 23:00,1
Mar 1st, 2020 23:15,0
Mar 1st, 2020 23:30,1
Mar 1st, 2020 23:45,0
Mar 2nd, 2020 00:00,0
Mar 2nd, 2020 00:15,0
Mar 2nd, 2020 00:30,0
Mar 2nd, 2020 00:45,0
Mar 2nd, 2020 01:00,0
Mar 2nd, 2020 01:15,0
Mar 2nd, 2020 01:30,0
Mar 2nd, 2020 01:45,0
Mar 2nd, 2020 02:00,0
Mar 2nd, 2020 02:15,0
Mar 2nd, 2020 02:30,0
Mar 2nd, 2020 02:45,0
Mar 2nd, 2020 03:00,0
Mar 2nd, 2020 03:15,0
Mar 2nd, 2020 03:30,0
Mar 2nd, 2020 03:45,0
Mar 2nd, 2020 04:00,0
Mar 2nd, 2020 04:15,0
Mar 2nd, 2020 04:30,0
Mar 2nd, 2020 04:45,1
Mar 2nd, 2020 05:00,1
Mar 2nd, 2020 05:15,0
Mar 2nd, 2020 05:30,1
Mar 2nd, 2020 05:45,2
Mar 2nd, 2020 06:00,0
Mar 2nd, 2020 06:15,0
Mar 2nd, 2020 06:30,5
Mar 2nd, 2020 06:45,2
Mar 2nd, 2020 07:00,6
Mar 2nd, 2020 07:15,5
Mar 2nd, 2020 07:30,8
Mar 2nd, 2020 07:45,20
Mar 2nd, 2020 08:00,63
Mar 2nd, 2020 08:15,39
Mar 2nd, 2020 08:30,12
Mar 2nd, 2020 08:45,17
Mar 2nd, 2020 09:00,8
Mar 2nd, 2020 09:15,8
Mar 2nd, 2020 09:30,4
Mar 2nd, 2020 09:45,4
Mar 2nd, 2020 10:00,1
Mar 2nd, 2020 10:15,4
Mar 2nd, 2020 10:30,3
Mar 2nd, 2020 10:45,4
Mar 2nd, 2020 11:00,3
Mar 2nd, 2020 11:15,2
Mar 2nd, 2020 11:30,5
Mar 2nd, 2020 11:45,9
Mar 2nd, 2020 12:00,2
Mar 2nd, 2020 12:15,5
Mar 2nd, 2020 12:30,1
Mar 2nd, 2020 12:45,3
Mar 2nd, 2020 13:00,0
Mar 2nd, 2020 13:15,5
Mar 2nd, 2020 13:30,4
Mar 2nd, 2020 13:45,4
Mar 2nd, 2020 14:00,2
Mar 2nd, 2020 14:15,4
Mar 2nd, 2020 14:30,18
Mar 2nd, 2020 14:45,28
Mar 2nd, 2020 15:00,24
Mar 2nd, 2020 15:15,24
Mar 2nd, 2020 15:30,92
Mar 2nd, 2020 15:45,31
Mar 2nd, 2020 16:00,14
Mar 2nd, 2020 16:15,16
Mar 2nd, 2020 16:30,16
Mar 2nd, 2020 16:45,22
Mar 2nd, 2020 17:00,17
Mar 2nd, 2020 17:15,12
Mar 2nd, 2020 17:30,16
Mar 2nd, 2020 17:45,20
Mar 2nd, 2020 18:00,12
Mar 2nd, 2020 18:15,19
Mar 2nd, 2020 18:30,14
Mar 2nd, 2020 18:45,9
Mar 2nd, 2020 19:00,6
Mar 2nd, 2020 19:15,3
Mar 2nd, 2020 19:30,2
Mar 2nd, 2020 19:45,1
Mar 2nd, 2020 20:00,2
Mar 2nd, 2020 20:15,1
Mar 2nd, 2020 20:30,2
Mar 2nd, 2020 20:45,2
Mar 2nd, 2020 21:00,4
Mar 2nd, 2020 21:15,6
Mar 2nd, 2020 21:30,3
Mar 2nd, 2020 21:45,0
Mar 2nd, 2020 22:00,1
Mar 2nd, 2020 22:15,1
Mar 2nd, 2020 22:30,2
Mar 2nd, 2020 22:45,0
Mar 2nd, 2020 23:00,0
Mar 2nd, 2020 23:15,0
Mar 2nd, 2020 23:30,0
Mar 2nd, 2020 23:45,0
Mar 3rd, 2020 00:00,0
Mar 3rd, 2020 00:15,0
Mar 3rd, 2020 00:30,0
Mar 3rd, 2020 00:45,1
Mar 3rd, 2020 01:00,0
Mar 3rd, 2020 01:15,0
Mar 3rd, 2020 01:30,0
Mar 3rd, 2020 01:45,0
Mar 3rd, 2020 02:00,0
Mar 3rd, 2020 02:15,0
Mar 3rd, 2020 02:30,0
Mar 3rd, 2020 02:45,0
Mar 3rd, 2020 03:00,0
Mar 3rd, 2020 03:15,1
Mar 3rd, 2020 03:30,1
Mar 3rd, 2020 03:45,0
Mar 3rd, 2020 04:00,0
Mar 3rd, 2020 04:15,0
Mar 3rd, 2020 04:30,0
Mar 3rd, 2020 04:45,1
Mar 3rd, 2020 05:00,1
Mar 3rd, 2020 05:15,1
Mar 3rd, 2020 05:30,1
Mar 3rd, 2020 05:45,4
Mar 3rd, 2020 06:00,2
Mar 3rd, 2020 06:15,5
Mar 3rd, 2020 06:30,6
Mar 3rd, 2020 06:45,0
Mar 3rd, 2020 07:00,3
Mar 3rd, 2020 07:15,6
Mar 3rd, 2020 07:30,8
Mar 3rd, 2020 07:45,25
Mar 3rd, 2020 08:00,56
Mar 3rd, 2020 08:15,36
Mar 3rd, 2020 08:30,21
Mar 3rd, 2020 08:45,12
Mar 3rd, 2020 09:00,8
Mar 3rd, 2020 09:15,7
Mar 3rd, 2020 09:30,9
Mar 3rd, 2020 09:45,7
Mar 3rd, 2020 10:00,9
Mar 3rd, 2020 10:15,9
Mar 3rd, 2020 10:30,10
Mar 3rd, 2020 10:45,5
Mar 3rd, 2020 11:00,10
Mar 3rd, 2020 11:15,4
Mar 3rd, 2020 11:30,12
Mar 3rd, 2020 11:45,9
Mar 3rd, 2020 12:00,10
Mar 3rd, 2020 12:15,14
Mar 3rd, 2020 12:30,8
Mar 3rd, 2020 12:45,8
Mar 3rd, 2020 13:00,3
Mar 3rd, 2020 13:15,11
Mar 3rd, 2020 13:30,9
Mar 3rd, 2020 13:45,13
Mar 3rd, 2020 14:00,9
Mar 3rd, 2020 14:15,7
Mar 3rd, 2020 14:30,15
Mar 3rd, 2020 14:45,16
Mar 3rd, 2020 15:00,14
Mar 3rd, 2020 15:15,19
Mar 3rd, 2020 15:30,69
Mar 3rd, 2020 15:45,42
Mar 3rd, 2020 16:00,22
Mar 3rd, 2020 16:15,23
Mar 3rd, 2020 16:30,13
Mar 3rd, 2020 16:45,21
Mar 3rd, 2020 17:00,15
Mar 3rd, 2020 17:15,22
Mar 3rd, 2020 17:30,24
Mar 3rd, 2020 17:45,19
Mar 3rd, 2020 18:00,15
Mar 3rd, 2020 18:15,17
Mar 3rd, 2020 18:30,12
Mar 3rd, 2020 18:45,8
Mar 3rd, 2020 19:00,3
Mar 3rd, 2020 19:15,6
Mar 3rd, 2020 19:30,8
Mar 3rd, 2020 19:45,6
Mar 3rd, 2020 20:00,9
Mar 3rd, 2020 20:15,3
Mar 3rd, 2020 20:30,2
Mar 3rd, 2020 20:45,2
Mar 3rd, 2020 21:00,1
Mar 3rd, 2020 21:15,3
Mar 3rd, 2020 21:30,2
Mar 3rd, 2020 21:45,1
